iter	MultiClass
334	0.3709054407
335	0.3706487038
336	0.3703590648
337	0.3701477053
338	0.3698919689
339	0.3695841142
340	0.3693372373
341	0.3690967502
342	0.3687954254
343	0.3684209333
344	0.3681741775
345	0.3679569906
346	0.3676914426
347	0.3674610572
348	0.3671305041
349	0.3668560855
350	0.366594597
351	0.3663700281
352	0.3661652784
353	0.3658982575
354	0.3656104583
355	0.3653341632
356	0.3650719157
357	0.3648000366
358	0.3645718587
359	0.3642135645
360	0.3639170107
361	0.3635735681
362	0.3632483875
363	0.3629638837
364	0.3627859464
365	0.3625242673
366	0.3622220614
367	0.3619137665
368	0.3616830969
369	0.3614939838
370	0.3612465081
371	0.3609822674
372	0.3607833203
373	0.3605837855
374	0.3603357931
375	0.3600485491
376	0.3597726864
377	0.3595279911
378	0.3593147979
379	0.3590630033
380	0.35882435
381	0.3585946815
382	0.35832484
383	0.3580884064
384	0.3578583779
385	0.3576182466
386	0.3574052626
387	0.357087237
388	0.3568520741
389	0.3567118428
390	0.3564316122
391	0.3561390585
392	0.3559578689
393	0.355729495
394	0.3554720711
395	0.3552450535
396	0.3549999931
397	0.3547194394
398	0.3545128163
399	0.3542199299
400	0.3540083111
401	0.3537450546
402	0.3534164099
403	0.3531877523
404	0.352941622
405	0.3527423546
406	0.3524723829
407	0.3522281328
408	0.3520169244
409	0.3517675251
410	0.3515734376
411	0.3513351124
412	0.3510847736
413	0.3508703801
414	0.3506617505
415	0.3504967063
416	0.3503015924
417	0.350054417
418	0.3498367456
419	0.3496685657
420	0.3493898387
421	0.349146685
422	0.3489663854
423	0.3487404984
424	0.3485824934
425	0.3483979951
426	0.3481218763
427	0.3478470113
428	0.3476586608
429	0.3474427858
430	0.3472289191
431	0.347000754
432	0.3468073201
433	0.3466315187
434	0.3464632345
435	0.3462828527
436	0.3460172723
437	0.3458034932
438	0.3456354205
439	0.3454834979
440	0.3452739956
441	0.345024531
442	0.3447598732
443	0.3445823535
444	0.344329391
445	0.3441022375
446	0.3438618209
447	0.3436746106
448	0.34345612
449	0.343294097
450	0.3430370774
451	0.3427478137
452	0.3425355046
453	0.3423132212
454	0.3421275461
455	0.3419071362
456	0.3417354584
457	0.3415174182
458	0.3412684556
459	0.3411105487
460	0.3408734382
461	0.3406285597
462	0.3404112977
463	0.3402692942
464	0.3400223399
465	0.3398261246
466	0.3396513972
467	0.3395198786
468	0.3393290308
469	0.3390702
470	0.3389476842
471	0.3387238485
472	0.3385171591
473	0.3383732149
474	0.3381125111
475	0.3379639235
476	0.337743926
477	0.3375238204
478	0.3372939166
479	0.3370601751
480	0.3369101899
481	0.3366267435
482	0.3364192905
483	0.3362183239
484	0.3360117656
485	0.3358336732
486	0.3355808836
487	0.3354206821
488	0.335198045
489	0.3350144009
490	0.3348365621
491	0.3346026558
492	0.3344115464
493	0.3342459367
494	0.3340275453
495	0.3338306057
496	0.333643238
497	0.3335238761
498	0.3333262969
499	0.3330735078
500	0.3328339534
501	0.3326462335
502	0.3324932299
503	0.3323073965
504	0.332090786
505	0.3318622548
506	0.331582278
507	0.3313265102
508	0.3310869027
509	0.3309319146
510	0.3307912016
511	0.3306253486
512	0.3304182916
513	0.3302260418
514	0.3300692288
515	0.3298872589
516	0.3296689384
517	0.3295015618
518	0.329365303
519	0.3292355688
520	0.3291059484
521	0.3288324539
522	0.3286376108
523	0.3283675254
524	0.3281814623
525	0.3279524719
526	0.3277723687
527	0.3275546498
528	0.3273023487
529	0.327142084
530	0.3269397669
531	0.3267379984
532	0.3265664117
533	0.3263265357
534	0.3261420129
535	0.3259244752
536	0.3257394702
537	0.3255739606
538	0.325393664
539	0.3252805406
540	0.3251341578
541	0.3248810397
542	0.3247223078
543	0.3245840337
544	0.3244124359
545	0.3242395026
546	0.3240349025
547	0.3238653658
548	0.3236723357
549	0.3235203449
550	0.3232952082
551	0.3230745454
552	0.3228149434
553	0.3226488259
554	0.3225148088
555	0.3223958617
556	0.3221583435
557	0.3219622939
558	0.3218286193
559	0.3216224021
560	0.3214829701
561	0.3212768917
562	0.321103532
563	0.3209318649
564	0.32075096
565	0.3205226042
566	0.3203886594
567	0.3201383979
568	0.3200014088
569	0.3198144612
570	0.3196034827
571	0.3194479512
572	0.3192811137
573	0.3190672546
574	0.3188124298
575	0.3186740886
576	0.3185027366
577	0.3183913644
578	0.3182449875
579	0.3180248252
580	0.3178347182
581	0.3176309096
582	0.3174772174
583	0.3172995908
584	0.3170585909
585	0.3168952223
586	0.3167345093
587	0.3165772247
588	0.3164221008
589	0.3162246119
590	0.3160494208
591	0.3158453171
592	0.3157044359
