iter	MultiClass
0	1.074858193
1	1.051536181
2	1.029012203
3	1.008993483
4	0.9895118538
5	0.9710901476
6	0.9533234753
7	0.9359559765
8	0.9203997284
9	0.904799495
10	0.8907221383
11	0.8767996265
12	0.8634498595
13	0.8505527219
14	0.8388322784
15	0.827185664
16	0.8159625434
17	0.8052331398
18	0.7945817324
19	0.784400795
20	0.7747697366
21	0.7654170872
22	0.7566233738
23	0.747936928
24	0.7399708625
25	0.7315745486
26	0.7236553268
27	0.7159827113
28	0.7088804176
29	0.7018909254
30	0.6949036367
31	0.6884569225
32	0.6822848124
33	0.6761739663
34	0.6703443254
35	0.6648380267
36	0.6593037076
37	0.6537147491
38	0.6484815091
39	0.6434556805
40	0.6385965317
41	0.6339004407
42	0.6293809762
43	0.6248218537
44	0.6204263149
45	0.6160441354
46	0.6116945723
47	0.607694055
48	0.6039211421
49	0.6000524027
50	0.5963881953
51	0.5928486852
52	0.5894291761
53	0.5860820458
54	0.5829082606
55	0.5795925773
56	0.5762621179
57	0.573244146
58	0.5704318833
59	0.5676058505
60	0.5647266436
61	0.5618437676
62	0.5590818282
63	0.5564219184
64	0.5536920904
65	0.5512724647
66	0.5489549107
67	0.5465979462
68	0.5442398439
69	0.5419775895
70	0.5394266576
71	0.5373185852
72	0.535187217
73	0.532942176
74	0.5310372767
75	0.528941425
76	0.5270480564
77	0.5250403102
78	0.5233161683
79	0.5215016676
80	0.5195815379
81	0.5178330063
82	0.515878356
83	0.5141740868
84	0.5124185974
85	0.510715572
86	0.508979633
87	0.5073911614
88	0.5057412143
89	0.5042089647
90	0.5027486936
91	0.5013703778
92	0.4999307366
93	0.4984490169
94	0.4970760431
95	0.4956156959
96	0.4942365163
97	0.492930693
98	0.4915500081
99	0.4901133023
100	0.4889791815
101	0.4875876729
102	0.4864208097
103	0.4852195689
104	0.4841113229
105	0.4830977115
106	0.4820530098
107	0.4809096381
108	0.4799132913
109	0.4789235629
110	0.4779489914
111	0.4770894805
112	0.4761062622
113	0.4752972374
114	0.4740675745
115	0.4730714603
116	0.4721356321
117	0.4710183074
118	0.4700171429
119	0.4690971631
120	0.4683254881
121	0.467420552
122	0.4664719712
123	0.4655989552
124	0.4648260951
125	0.4639922453
126	0.4630614334
127	0.4623571545
128	0.4614409448
129	0.4606855708
130	0.4599647572
131	0.4593086693
132	0.4585043046
133	0.4577731202
134	0.4569833534
135	0.456227952
136	0.4554528097
137	0.4544859601
138	0.4535860092
139	0.4527208411
140	0.4521149178
141	0.451387642
142	0.4507403683
143	0.4499346314
144	0.4491131321
145	0.4484022497
146	0.4476916021
147	0.4470537794
148	0.4462777227
149	0.4455437039
150	0.4447445635
151	0.4440414541
152	0.4435754524
153	0.4429705424
154	0.4423704151
155	0.4419049296
156	0.4412104409
157	0.4407053374
158	0.4399989111
159	0.4395135501
160	0.4389676559
161	0.4383180452
162	0.4376908855
163	0.4369732538
164	0.4364090779
165	0.4357778761
166	0.4352553081
167	0.4347189624
168	0.4340433338
169	0.4335822145
170	0.4328966007
171	0.4323457885
172	0.4316982163
173	0.4312073575
174	0.4306465929
175	0.4301441275
176	0.4296875917
177	0.4290006781
178	0.4284540813
179	0.4277909459
180	0.4272033327
181	0.4266340988
182	0.4260394763
183	0.4255378963
184	0.4251462753
185	0.4244848948
186	0.4239430188
187	0.4233941101
188	0.4226083569
189	0.4220324539
190	0.4212344676
191	0.4208178344
192	0.4203016984
193	0.4198439562
194	0.4194899544
195	0.4190761212
196	0.4184861756
197	0.4180640456
198	0.4174702987
199	0.417004294
200	0.4166192266
201	0.4162785631
202	0.4158903027
203	0.4154327132
204	0.414997847
205	0.4144544027
206	0.4139884724
207	0.4134029017
208	0.4129282559
209	0.4124442466
210	0.4119288604
211	0.4115994445
212	0.411190186
213	0.4108934568
214	0.410471284
215	0.4100318249
216	0.4096058046
217	0.4092023098
218	0.4088713208
219	0.4084445608
220	0.4080609452
221	0.4077021649
222	0.4073428002
223	0.4069921151
224	0.4065793264
225	0.4061784548
226	0.405764862
227	0.4053476659
228	0.4047697171
229	0.4044615156
230	0.4040166659
231	0.403680267
232	0.4032546164
233	0.402880343
234	0.4025201429
235	0.402112484
236	0.4017337362
237	0.4013810719
238	0.400964561
239	0.4006770161
240	0.4003761835
241	0.4000040825
242	0.399741488
243	0.3994210421
244	0.3990319508
245	0.3986899951
246	0.3981745846
247	0.3978419723
248	0.3975704047
249	0.3971615492
250	0.3967394314
251	0.3963070181
252	0.3960461954
253	0.3957136833
254	0.3954157538
255	0.3951954769
256	0.3947848876
257	0.3944766303
258	0.3940640008
259	0.3936308268
260	0.3932390675
261	0.3929419616
262	0.3925929261
263	0.3923075354
264	0.3918700268
265	0.3914356723
266	0.3910656944
267	0.3907461593
268	0.3904194622
269	0.3901068356
270	0.3897235014
271	0.3893113332
272	0.3890003825
273	0.3886671642
274	0.3883673005
275	0.3880055717
276	0.3876384866
277	0.3873358356
278	0.3870512955
279	0.3867460717
280	0.386321865
281	0.3860196637
282	0.3857469395
283	0.385447266
284	0.3852367244
285	0.3849233825
286	0.3846298708
287	0.3843581338
288	0.3840559092
289	0.3837377524
290	0.383390832
291	0.3830845676
292	0.3827965901
293	0.3824861678
294	0.3822320682
295	0.381878409
296	0.3815753227
297	0.381251062
298	0.3809128408
299	0.3806355542
300	0.3803206606
301	0.3800388823
302	0.3796919258
303	0.3794555815
304	0.3791447911
305	0.3787920739
306	0.3784234349
307	0.3781227132
308	0.377878845
309	0.377655294
310	0.3774108421
311	0.3770999606
312	0.376875984
313	0.3765507122
314	0.3762453626
315	0.3760377176
316	0.3757679913
317	0.3754718999
318	0.3752181395
319	0.3750054468
320	0.3747941241
321	0.3745349773
322	0.3743081075
323	0.3740589344
324	0.373745328
325	0.3734780078
326	0.373115201
327	0.3728803786
328	0.3725884137
329	0.3723413631
330	0.3719847035
331	0.3717242646
332	0.3714530702
333	0.3711689736
